Country,Unemployment,Account
Afghanistan,2.18181818181818,7.160684586
Albania,0.903448275862069,38.10295868
Algeria,2.10891089108911,29.26873016
Andorra,,
Angola,1.10144927536232,22.33164597
Antigua and Barbuda,,
Argentina,1.27058823529412,50.75725174
Armenia,1.01704545454545,40.90643692
Australia,1.0377358490566,99.19509125
Austria,0.979166666666667,98.37577057
Azerbaijan,1.38636363636364,27.71962547
Bahamas,1.27619047619048,
Bahrain,11.6666666666667,75.40673828
Bangladesh,1.96969696969697,35.83634567
Barbados,1.0989010989011,
Belarus,0.561643835616438,81.33817291
Belgium,1.01587301587302,98.81755066
Belize,2.83333333333333,52.28493881
Benin,1.1,28.58588791
Bhutan,1.76470588235294,27.68187904
"Bolivia, Plurinational State of",1.48148148148148,53.85283279
Bosnia and Herzegovina,1.26455026455026,54.7417984
Botswana,1.4527027027027,46.788517
Brazil,1.2972972972973,67.51464844
Brunei Darussalam,1.17441860465116,
Bulgaria,0.842105263157895,73.63685608
Burkina Faso,2.31578947368421,34.4989357
Burundi,0.55,6.726228237
Cabo Verde,1.08474576271186,
Cambodia,0.75,21.52639389
Cameroon,1.3448275862069,30.0303688
Canada,0.934426229508197,99.85279846
Central African Republic,1.20338983050847,9.717617035
Chad,1.36842105263158,14.85025883
Chile,1.16176470588235,71.27378845
China,0.775510204081633,76.36473083
Colombia,1.66197183098592,42.47443008
Comoros,1.17142857142857,17.89295769
Congo,1.14432989690722,20.9935627
"Congo, Democratic Republic of the",0.66,24.21882248
Costa Rica,1.51470588235294,60.87906265
C̫te d'Ivoire,1.55,35.56497955
Croatia,1.28205128205128,82.69694519
Cuba,1.19047619047619,
Cyprus,1.01234567901235,90.01422119
Czechia,1.45,78.58478546
Denmark,1.08333333333333,100
Djibouti,1.15384615384615,8.762782097
Dominica,,
Dominican Republic,1.95238095238095,54.14283752
Ecuador,1.5625,42.6063385
Egypt,2.96153846153846,26.9944191
El Salvador,0.755102040816326,24.37995911
Equatorial Guinea,1.11363636363636,
Eritrea,1.11290322580645,
Estonia,0.864406779661017,98.37523651
"Eswatini, Kingdom of",1.15094339622642,27.41395187
Ethiopia,1.84615384615385,29.07543182
Fiji,1.47222222222222,
Finland,0.962025316455696,99.58627319
France,1.01098901098901,91.28713226
Gabon,2.00719424460432,53.70412445
Gambia,1.875,
Georgia,0.830065359477124,63.61225891
Germany,0.837837837837838,99.19924927
Ghana,1,53.72341919
Greece,1.54193548387097,84.53689575
Grenada,,
Guatemala,1.68181818181818,42.08628082
Guinea,0.586956521739131,19.67097473
Guinea-Bissau,1.07692307692308,
Guyana,1.53921568627451,
Haiti,1.49090909090909,30.04561424
Honduras,1.55882352941176,40.95068741
"Hong Kong, China",0.833333333333333,94.7024231
Hungary,1.17647058823529,72.15751648
Iceland,0.933333333333333,
India,1.56521739130435,76.63963318
Indonesia,0.931818181818182,51.35491943
"Iran, Islamic Republic of",1.99009900990099,91.61125946
Iraq,1.70833333333333,19.50482178
Ireland,0.932203389830508,95.30703735
Israel,1.02564102564103,93.70038605
Italy,1.17894736842105,91.62443542
Jamaica,1.73239436619718,77.7620163
Japan,0.884615384615385,98.06467438
Jordan,1.72932330827068,26.61338997
Kazakhstan,1.33333333333333,60.28655243
Kenya,0.978723404255319,77.74636841
Kiribati,,
Korea (Democratic People's Rep. of),0.833333333333333,
"Korea, Republic of",0.948717948717949,94.68531036
Kuwait,5.11111111111111,73.4630127
Kyrgyzstan,1.48333333333333,38.85499954
Lao People's Democratic Republic,0.857142857142857,31.87420273
Latvia,0.764044943820225,92.54244232
Lebanon,1.98,32.90546417
Lesotho,1.29951690821256,46.46006012
Liberia,1.05,28.16200256
Libya,1.6510067114094,59.62096024
Liechtenstein,,
Lithuania,0.846153846153846,81.01387024
Luxembourg,1.07547169811321,98.17749023
Madagascar,1.2,16.31496811
Malawi,1.42222222222222,29.84548759
Malaysia,1.2258064516129,82.47853851
Maldives,0.919354838709677,
Mali,1.37804878048781,25.71192169
Malta,1,96.96466064
Marshall Islands,,
Mauritania,1.41758241758242,15.48727798
Mauritius,2.10416666666667,87.11295319
Mexico,1.03030303030303,33.28747559
"Micronesia, Federated States of",,
"Moldova, Republic of",0.789473684210526,44.55144882
Monaco,,
Mongolia,0.880597014925373,94.95379639
Montenegro,1.04605263157895,67.57224274
Morocco,1.2093023255814,16.80644608
Mozambique,1.06451612903226,32.87394714
Myanmar,1.75,25.97871208
Namibia,1.14351851851852,80.66267395
Nauru,,
Nepal,0.733333333333333,41.60002136
Netherlands,1.16666666666667,99.83270264
New Zealand,1.11627906976744,99.34078217
Nicaragua,1.35897435897436,24.79252815
Niger,0.5,10.91004658
Nigeria,1.12280701754386,27.27667618
North Macedonia,0.90625,72.88609314
Norway,0.813953488372093,100
Oman,7.58823529411765,63.52985382
Pakistan,2.04,7.025063992
Palau,,
"Palestine, State of",2.05668016194332,15.91077328
Panama,1.59375,42.33934402
Papua New Guinea,0.382352941176471,
Paraguay,1.45,46.04944992
Peru,1.41666666666667,34.435215
Philippines,1.04,38.85416412
Poland,1,87.96221924
Portugal,1.17460317460317,90.62212372
Qatar,6,61.56953049
Romania,0.770833333333333,53.59091949
Russian Federation,0.938775510204082,76.13137054
Rwanda,1,44.96050262
Saint Kitts and Nevis,,
Saint Lucia,1.26344086021505,
Saint Vincent and the Grenadines,0.817757009345795,
Samoa,1.33783783783784,
San Marino,,
Sao Tome and Principe,2.39772727272727,
Saudi Arabia,6.76666666666667,58.17010498
Senegal,1.23728813559322,38.44960785
Serbia,1.14173228346457,70.12700653
Seychelles,,
Sierra Leone,0.686274509803922,15.35897541
Singapore,1.17142857142857,96.31292725
Slovakia,1.125,83.13398743
Slovenia,1.3125,96.93920898
Solomon Islands,0.8,
Somalia,1.13235294117647,33.66255951
South Africa,1.16733067729084,69.98981476
South Sudan,1.20869565217391,4.708465576
Spain,1.29411764705882,91.64125061
Sri Lanka,2.33333333333333,73.44207001
Sudan,2.52173913043478,9.983160973
Suriname,2.54166666666667,
Sweden,0.897058823529412,100
Switzerland,1.1063829787234,98.85665131
Syrian Arab Republic,3.43333333333333,19.58799934
Tajikistan,0.843478260869565,42.13079453
"Tanzania, United Republic of",1.6,42.15222168
Thailand,1.16666666666667,79.78010559
Timor-Leste,1.5,
Togo,0.7,37.59315491
Tonga,5,
Trinidad and Tobago,1.11111111111111,73.6030426
Tunisia,1.75193798449612,28.36343575
Turkey,1.41666666666667,54.29382324
Turkmenistan,0.42,35.51710892
Tuvalu,,
Uganda,1.5,52.70641327
Ukraine,0.771428571428571,61.32117462
United Arab Emirates,4.41176470588235,76.41671753
United Kingdom,0.975,96.07344055
United States,0.926829268292683,92.68624878
Uruguay,1.49230769230769,60.62883759
Uzbekistan,0.925925925925926,35.96907806
Vanuatu,1.24489795918367,
"Venezuela, Bolivarian Republic of",1.125,70.03800964
Viet Nam,0.9,30.41970062
Yemen,1.94214876033058,1.671490073
Zambia,0.92,40.27887726
Zimbabwe,1.22727272727273,51.66492462
